mlb;title;seller;ad_type;price_previous;price_current;discount;installments;date;post link;image link
MLB-5111567346;Placa de vídeo rtx 3050 6gb galax ex oc;N/A;Premium;R$ 1.597,00;R$ 1.597,00;0%;em 10x R$159,79 sem juros;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-5111567346-placa-de-video-rtx-3050-6gb-galax-ex-oc-_JM#polycard_client=search-nordic&position=40&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_603263-MLU78533528616_082024-E.webp
MLB-3737842415;Placa de vídeo galax nvidia geforce rtx 3050 ex oc 6gb gddr6;N/A;Premium;R$ 2.198,00;R$ 2.198,00;0%;em 10x R$219,89 sem juros;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-3737842415-placa-de-video-galax-nvidia-geforce-rtx-3050-ex-oc-6gb-gddr6-_JM#polycard_client=search-nordic&position=41&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_888842-MLB76970836409_062024-E.webp
MLB-4833863128;Placa de vídeo galax nvidia geforce rtx 3050 ex 6gb gddr6;N/A;Premium;R$ 1.733,00;R$ 1.733,00;0%;em 10x R$173,32 sem juros;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-4833863128-placa-de-video-galax-nvidia-geforce-rtx-3050-ex-6gb-gddr6-_JM#polycard_client=search-nordic&position=42&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_675373-MLB77288727325_062024-E.webp
MLB-3757990103;Placa de vídeo galax nvidia geforce rtx 3050 ex 6gb gddr6;N/A;Classic;R$ 1.622,00;R$ 1.622,00;0%;em 12x R$155,91;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-3757990103-placa-de-video-galax-nvidia-geforce-rtx-3050-ex-6gb-gddr6-_JM#polycard_client=search-nordic&position=43&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_931706-MLB77076732288_062024-E.webp
MLB-3650650283;Geforce rtx 3050 6gb gddr6 96 bits - galax ex series;N/A;Classic;R$ 1.826,00;R$ 1.826,00;0%;em 12x R$175,51;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-3650650283-geforce-rtx-3050-6gb-gddr6-96-bits-galax-ex-series-_JM#polycard_client=search-nordic&position=44&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_757609-MLB75507124104_042024-E.webp
MLB35098924;Placa de vídeo galax nvidia rtx 3050 8gb gddr6 128bit;Olist;Classic;R$ 3.833,00;R$ 3.833,00;0%;em 12x R$368,44;02/12/2024 10:16;https://www.mercadolivre.com.br/placa-de-video-galax-nvidia-rtx-3050-8gb-gddr6-128bit/p/MLB35098924#polycard_client=search-nordic&wid=MLB4689848718&sid=search&searchVariation=MLB35098924&position=7&search_layout=grid&type=product&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_682289-MLU75469544111_032024-E.webp
MLB19634456;Placa de vídeo nvidia galax  geforce rtx 30 series rtx 3050 35nsl8md6yex 8gb;N/A;Classic;R$ 2.199,00;R$ 2.199,00;0%;em 12x R$211,36;02/12/2024 10:16;https://www.mercadolivre.com.br/placa-de-video-nvidia-galax-geforce-rtx-30-series-rtx-3050-35nsl8md6yex-8gb/p/MLB19634456#polycard_client=search-nordic&wid=MLB4461702816&sid=search&searchVariation=MLB19634456&position=9&search_layout=grid&type=product&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_628826-MLU72751502524_112023-E.webp
MLB37546441;Placa de vídeo asus dual geforce rtx 3050 6gb gddr6 96bits;Nvidia;Classic;R$ 2.099,00;R$ 1.259,00;40% OFF;em 12x R$121,89;02/12/2024 10:16;https://www.mercadolivre.com.br/placa-de-video-asus-dual-geforce-rtx-3050-6gb-gddr6-96bits/p/MLB37546441#polycard_client=search-nordic&wid=MLB3852721565&sid=search&searchVariation=MLB37546441&position=8&search_layout=grid&type=product&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_622403-MLU78366662549_082024-E.webp
MLB37776074;Placa de vídeo msi geforce rtx 3050 oc 6gb lp gddr6 96bits;N/A;Premium;R$ 1.399,00;R$ 1.399,00;0%;em 10x R$139,90 sem juros;02/12/2024 10:16;https://www.mercadolivre.com.br/placa-de-video-msi-geforce-rtx-3050-oc-6gb-lp-gddr6-96bits/p/MLB37776074#polycard_client=search-nordic&wid=MLB5167687012&sid=search&searchVariation=MLB37776074&position=6&search_layout=grid&type=product&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_975754-MLU77053490853_062024-E.webp
MLB-3141543307;Vga placa de video galax geforce rtx3050 1click 8gb ddr6 n/f;N/A;Premium;R$ 1.988,00;R$ 1.988,00;0%;em 10x R$198,81 sem juros;02/12/2024 10:16;https://produto.mercadolivre.com.br/MLB-3141543307-vga-placa-de-video-galax-geforce-rtx3050-1click-8gb-ddr6-nf-_JM#polycard_client=search-nordic&position=46&search_layout=grid&type=item&tracking_id=7b0c7278-b5f3-4b8c-ad22-82ec18f1f152;https://http2.mlstatic.com/D_Q_NP_2X_826316-MLB53385338624_012023-E.webp
