mlb;title;seller;ad_type;price_previous;price_current;discount;installments;date;post link;image link
MLB-4979825568;Placa de vídeo nvidia galax  ex plus geforce gtx 1650 4gb;N/A;Classic;R$ 1.149,00;R$ 1.149,00;0%;N/A;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-4979825568-placa-de-video-nvidia-galax-ex-plus-geforce-gtx-1650-4gb-_JM#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_719727-MLU72573233972_112023-E.webp
MLB-4979756508;Placa de vídeo nvidia galax  ex plus geforce gtx 1650 4gb;N/A;Classic;R$ 1.149,00;R$ 1.149,00;0%;N/A;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-4979756508-placa-de-video-nvidia-galax-ex-plus-geforce-gtx-1650-4gb-_JM#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_719727-MLU72573233972_112023-E.webp
MLB-4979824114;Placa de vídeo nvidia galax  ex plus geforce gtx 1650 4gb;N/A;Classic;R$ 1.149,00;R$ 1.149,00;0%;N/A;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-4979824114-placa-de-video-nvidia-galax-ex-plus-geforce-gtx-1650-4gb-_JM#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_719727-MLU72573233972_112023-E.webp
MLB-4979744638;Placa de vídeo nvidia galax  ex plus geforce gtx 1650 4gb;N/A;Classic;R$ 1.099,00;R$ 1.099,00;0%;N/A;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-4979744638-placa-de-video-nvidia-galax-ex-plus-geforce-gtx-1650-4gb-_JM#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_719727-MLU72573233972_112023-E.webp
MLB-2611946214;Caixa completa plc vídeo nvidia gainward  ghost gtx 1650 4gb;N/A;Classic;R$ 24,00;R$ 24,70;0%;N/A;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-2611946214-caixa-completa-plc-video-nvidia-gainward-ghost-gtx-1650-4gb-_JM#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_865331-MLB78596155409_082024-E.webp
MLB-4979836792;Placa de vídeo nvidia galax  ex plus geforce gtx 1650 4gb;N/A;Classic;R$ 1.099,00;R$ 1.099,00;0%;em 12x R$106,32;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-4979836792-placa-de-video-nvidia-galax-ex-plus-geforce-gtx-1650-4gb-_JM#polycard_client=search-nordic&position=24&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_719727-MLU72573233972_112023-E.webp
MLB-2657029763;Placa de vídeo nvidia msi gtx 1650 ventus xs 4gb ddr6 ocv1;N/A;Premium;R$ 1.230,00;R$ 1.230,00;0%;em 10x R$123 sem juros;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-2657029763-placa-de-video-nvidia-msi-gtx-1650-ventus-xs-4gb-ddr6-ocv1-_JM#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_718997-MLA45255463021_032021-E.webp
MLB-5094917462;Placa de video colorful geforce gtx 1650 4gb gddr6 v3-v;N/A;Classic;R$ 1.175,00;R$ 1.175,00;0%;em 12x R$113,67;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-5094917462-placa-de-video-colorful-geforce-gtx-1650-4gb-gddr6-v3-v-_JM#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_805970-MLU75690984656_042024-E.webp
MLB-3740800993;Placa de vídeo msi geforce gtx 1650 ventus xs ocv3 4gb d6;N/A;Classic;R$ 1.069,00;R$ 1.069,00;0%;N/A;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-3740800993-placa-de-video-msi-geforce-gtx-1650-ventus-xs-ocv3-4gb-d6-_JM#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_929044-MLU74217636883_012024-E.webp
MLB-3201712023;Placa de vídeo asus geforce 90yv0ez0-m0na00 tuf-gtx1650-4gd6;N/A;Classic;R$ 2.528,00;R$ 2.528,00;0%;N/A;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-3201712023-placa-de-video-asus-geforce-90yv0ez0-m0na00-tuf-gtx1650-4gd6-_JM#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_756050-MLB80617988279_112024-E.webp
MLB-3833684477;Placa vídeo asus phoenix gtx1650 ph-gtx1650-o4gd6-p oc 4gb;N/A;Classic;R$ 953,00;R$ 953,00;0%;em 12x R$92,19;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-3833684477-placa-video-asus-phoenix-gtx1650-ph-gtx1650-o4gd6-p-oc-4gb-_JM#polycard_client=search-nordic&position=29&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_995935-MLA48159038072_112021-E.webp
MLB-3837230651;Placa de vídeo inno3d nvidia geforce gtx 1650 twin x2 oc v3;N/A;Classic;R$ 945,00;R$ 945,00;0%;N/A;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-3837230651-placa-de-video-inno3d-nvidia-geforce-gtx-1650-twin-x2-oc-v3-_JM#polycard_client=search-nordic&position=30&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_616351-MLU77441730905_072024-E.webp
MLB20335374;Placa de vídeo gigabyte geforce gtx 1650 d6 oc, 4gb gddr6;N/A;Classic;R$ 1.899,00;R$ 1.899,00;0%;em 12x R$182,53;29/11/2024 16:14:40;https://www.mercadolivre.com.br/placa-de-video-gigabyte-geforce-gtx-1650-d6-oc-4gb-gddr6/p/MLB20335374#polycard_client=search-nordic&wid=MLB4133708732&sid=search&searchVariation=MLB20335374&position=4&search_layout=grid&type=product&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_740050-MLU78664941293_082024-E.webp
MLB-4962316384;Placa de vídeo nvidia gainward ghost geforce gtx 1650 4gb;N/A;Classic;R$ 979,00;R$ 979,90;0%;N/A;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-4962316384-placa-de-video-nvidia-gainward-ghost-geforce-gtx-1650-4gb-_JM#polycard_client=search-nordic&position=31&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_775972-MLB77869133938_072024-E.webp
MLB-4979816364;Placa de vídeo nvidia galax  ex plus geforce gtx 1650 4gb;N/A;Premium;R$ 1.149,00;R$ 1.149,00;0%;em 10x R$114,90 sem juros;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-4979816364-placa-de-video-nvidia-galax-ex-plus-geforce-gtx-1650-4gb-_JM#polycard_client=search-nordic&position=32&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_719727-MLU72573233972_112023-E.webp
MLB-2663671711;Placa de vídeo nvidia msi ventus xs geforce gtx 1650 4gb n/f;N/A;Classic;R$ 1.234,00;R$ 1.234,00;0%;N/A;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-2663671711-placa-de-video-nvidia-msi-ventus-xs-geforce-gtx-1650-4gb-nf-_JM#polycard_client=search-nordic&position=33&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_718997-MLA45255463021_032021-E.webp
MLB-3865298833;Placa de video colorful geforce gtx 1650 4gb gddr6 v3-v;N/A;Classic;R$ 1.299,00;R$ 1.052,00;19% OFF;N/A;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-3865298833-placa-de-video-colorful-geforce-gtx-1650-4gb-gddr6-v3-v-_JM#polycard_client=search-nordic&position=34&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_925286-MLB79430392884_092024-E.webp
MLB-4998408590;Placa de video gtx 1650 ocv3 4gb gddr6 d6 ventus xs ocv msi;N/A;Premium;R$ 1.340,00;R$ 1.340,00;0%;em 10x R$134 sem juros;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-4998408590-placa-de-video-gtx-1650-ocv3-4gb-gddr6-d6-ventus-xs-ocv-msi-_JM#polycard_client=search-nordic&position=35&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_852565-MLB78187597840_082024-E.webp
MLB-3837217241;Placa de vídeo inno3d nvidia geforce gtx 1650;N/A;Premium;R$ 1.001,00;R$ 1.001,00;0%;em 10x R$100,10 sem juros;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-3837217241-placa-de-video-inno3d-nvidia-geforce-gtx-1650-_JM#polycard_client=search-nordic&position=36&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_616351-MLU77441730905_072024-E.webp
MLB-3666036915;Placa de vídeo galax nvidia geforce gtx1650 4gb gddr6 65sql8;Login;Classic;R$ 1.019,00;R$ 1.019,00;0%;em 12x R$98,58;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-3666036915-placa-de-video-galax-nvidia-geforce-gtx1650-4gb-gddr6-65sql8-_JM#polycard_client=search-nordic&position=37&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_618216-MLB75765127644_042024-E.webp
MLB-5094929950;Placa de video colorful geforce gtx 1650 4gb gddr6 v3-v;N/A;Premium;R$ 1.299,00;R$ 1.299,00;0%;em 10x R$129,90 sem juros;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-5094929950-placa-de-video-colorful-geforce-gtx-1650-4gb-gddr6-v3-v-_JM#polycard_client=search-nordic&position=38&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_925286-MLB79430392884_092024-E.webp
MLB-3088957897;Vga nvidia msi geforce gtx 1650 d6 ventus oc 4gb ddr5;N/A;Premium;R$ 1.046,00;R$ 1.046,00;0%;em 10x R$104,60 sem juros;29/11/2024 16:14:40;https://produto.mercadolivre.com.br/MLB-3088957897-vga-nvidia-msi-geforce-gtx-1650-d6-ventus-oc-4gb-ddr5-_JM#polycard_client=search-nordic&position=39&search_layout=grid&type=item&tracking_id=c3fefd62-0a3e-48b5-b94f-249867307896;https://http2.mlstatic.com/D_Q_NP_2X_620804-MLA53058586357_122022-E.webp
