url;title;price_previous;price_current;seller;seller_sales;qtd_available;scraped_at
https://produto.mercadolivre.com.br/MLB-3858299551-placa-de-video-rtx-3050-6gb-lp-gddr6-96bits-zotac-_JM#polycard_client=search-nordic&position=46&search_layout=grid&type=item&tracking_id=06aea46e-f2e4-4787-972c-b79d1b5ac504;Placa De Vídeo Rtx 3050 6gb Lp Gddr6 96bits Zotac;1.758;R$1.758,93;Bitboss.;Mercadolíder | +1000 vendas;2 disponíveis;30/11/2024 00:25:36
https://produto.mercadolivre.com.br/MLB-3859546769-placa-de-video-rtx-3050-6gb-lp-gddr6-96bits-zotac-_JM#polycard_client=search-nordic&position=47&search_layout=grid&type=item&tracking_id=06aea46e-f2e4-4787-972c-b79d1b5ac504;Placa De Vídeo Rtx 3050 6gb Lp Gddr6 96bits Zotac;1.652;R$1.652,83;Maddog;+1000 vendas;2 disponíveis;30/11/2024 00:25:37
https://produto.mercadolivre.com.br/MLB-3841504895-placa-de-video-rtx3050-6gb-twin-x2-gddr6-96-bits-inno3d-_JM#polycard_client=search-nordic&position=48&search_layout=grid&type=item&tracking_id=06aea46e-f2e4-4787-972c-b79d1b5ac504;Placa De Vídeo Rtx3050 6gb Twin X2 Gddr6 96 Bits Inno3d;1.777;R$1.777,63;Maddog;+1000 vendas;2 disponíveis;30/11/2024 00:25:38
https://produto.mercadolivre.com.br/MLB-4991847172-placa-video-msi-rtx-3050-oc-6gb-gddr6-96bits-912-v812-023-_JM#polycard_client=search-nordic&position=49&search_layout=grid&type=item&tracking_id=06aea46e-f2e4-4787-972c-b79d1b5ac504;Placa Vídeo Msi Rtx 3050 Oc 6gb Gddr6 96bits 912-v812-023;1.529;R$1.529,90;Sd.cominformaticapoa;+100 vendas;Último disponível!;30/11/2024 00:25:38
https://produto.mercadolivre.com.br/MLB-5011403854-placa-de-video-rtx3050-6gb-gddr6-lp-96bits-msi-_JM#polycard_client=search-nordic&position=50&search_layout=grid&type=item&tracking_id=06aea46e-f2e4-4787-972c-b79d1b5ac504;Placa De Vídeo Rtx3050 6gb Gddr6 Lp 96bits Msi;1.624;R$1.624,56;Bitboss.;Mercadolíder | +1000 vendas;2 disponíveis;30/11/2024 00:25:39
https://www.mercadolivre.com.br/placa-de-video-gpu-nvidia-geforce-rtx-3050-6gb-gddr6-96bits/p/MLB41221063#polycard_client=search-nordic&wid=MLB5139988046&sid=search&searchVariation=MLB41221063&position=3&search_layout=grid&type=product&tracking_id=06aea46e-f2e4-4787-972c-b79d1b5ac504;Placa De Video Gpu Nvidia Geforce Rtx 3050 6gb Gddr6 96bits;1.631;R$1.631,96;Ljaguara;+1000 vendas;+50 disponíveis;30/11/2024 00:25:40
https://produto.mercadolivre.com.br/MLB-3682543447-placa-de-video-nvidia-rtx-3050-6gb-ddr6-dual-asus-_JM#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=46642ada-04d7-4041-94c3-108f0afb1bcb;Placa De Video Nvidia Rtx 3050 6gb Ddr6 Dual Asus;1.669;R$1.669,99;Comprasja2024;Mercadolíder | +1000 vendas;5 disponíveis;30/11/2024 00:25:40
https://produto.mercadolivre.com.br/MLB-4552197526-placa-de-video-rtx-3050-6gb-gddr6-pegasus-gainward-_JM#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=46642ada-04d7-4041-94c3-108f0afb1bcb;Placa De Vídeo Rtx 3050 6gb Gddr6 Pegasus Gainward;1.616;R$1.616,88;Bitboss.;Mercadolíder | +1000 vendas;3 disponíveis;30/11/2024 00:25:41
https://produto.mercadolivre.com.br/MLB-3791169441-placa-de-video-zotac-nvidia-geforce-rtx-3050-6gb-gddr6-dlss-_JM#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=46642ada-04d7-4041-94c3-108f0afb1bcb;Placa De Vídeo Zotac Nvidia Geforce Rtx 3050 6gb Gddr6 Dlss;1.599;R$1.599,90;Infinity.informática;+1000 vendas;2 disponíveis;30/11/2024 00:25:42
https://produto.mercadolivre.com.br/MLB-3815985915-placa-grafica-msi-gaming-rtx-3050-gaming-x-6g-6gb-gddr6-_JM#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=46642ada-04d7-4041-94c3-108f0afb1bcb;Placa Gráfica Msi Gaming Rtx 3050 Gaming X 6g 6gb Gddr6;R$1.607,97;R$1.334,62;Us nocnoc-brr;Mercadolíder | +50mil vendas;+20 disponíveis;30/11/2024 00:25:42
